UniProt1,UniProt2,symbol1,symbol2
Q92731,Q92731,ESR2,ESR2
Q92731,Q92793,ESR2,CREBBP
Q92731,Q92804,ESR2,TAF15
Q92731,Q92841,ESR2,DDX17
Q92731,Q92901,ESR2,RPL3L
Q92731,Q92993,ESR2,KAT5
Q92731,Q93074,ESR2,MED12
Q92731,Q969G3,ESR2,SMARCE1
Q92731,Q969Q0,ESR2,RPL36AL
Q92731,Q96AG4,ESR2,LRRC59
Q92731,Q96DU9,ESR2,PABPC5
Q92731,Q96DV4,ESR2,MRPL38
Q92731,Q96EX2,ESR2,RNFT2
Q92731,Q96EY7,ESR2,PTCD3
Q92731,Q96G01,ESR2,BICD1
Q92731,Q96HA1,ESR2,POM121
Q92731,Q96J92,ESR2,WNK4
Q92731,Q96JP5,ESR2,ZFP91
Q92731,Q96KM6,ESR2,ZNF512B
Q92731,Q96KN1,ESR2,LRATD2
Q92731,Q96KR1,ESR2,ZFR
Q92731,Q96PK6,ESR2,RBM14
Q92731,Q96PV0,ESR2,SYNGAP1
Q92731,Q96Q27,ESR2,ASB2
Q92731,Q96QR8,ESR2,PURB
Q92731,Q96R72,ESR2,OR4K3
Q92731,Q96RP7,ESR2,GAL3ST4
Q92731,Q96ST3,ESR2,SIN3A
Q92731,Q96T76,ESR2,MMS19
Q92731,Q96TC7,ESR2,RMDN3
Q92731,Q99459,ESR2,CDC5L
Q92731,Q99460,ESR2,PSMD1
Q92731,Q99570,ESR2,PIK3R4
Q92731,Q99832,ESR2,CCT7
Q92731,Q99996,ESR2,AKAP9
Q92731,Q9BQ39,ESR2,DDX50
Q92731,Q9BQG0,ESR2,MYBBP1A
Q92731,Q9BQQ3,ESR2,GORASP1
Q92731,Q9BRJ2,ESR2,MRPL45
Q92731,Q9BTT4,ESR2,MED10
Q92731,Q9BTT6,ESR2,LRRC1
Q92731,Q9BTY7,ESR2,HGH1
Q92731,Q9BV38,ESR2,WDR18
Q92731,Q9BVP2,ESR2,GNL3
Q92731,Q9BWC9,ESR2,CCDC106
Q92731,Q9BXU1,ESR2,STK31
Q92731,Q9BY44,ESR2,EIF2A
Q92731,Q9BYR7,ESR2,KRTAP3-2
Q92731,Q9BYR8,ESR2,KRTAP3-1
Q92731,Q9BZE4,ESR2,GTPBP4
Q92731,Q9GZR2,ESR2,REXO4
Q92731,Q9GZS1,ESR2,POLR1E
Q92731,Q9H0A0,ESR2,NAT10
Q92731,Q9H0E9,ESR2,BRD8
Q92731,Q9H0M0,ESR2,WWP1
Q92731,Q9H147,ESR2,DNTTIP1
Q92731,Q9H1R3,ESR2,MYLK2
Q92731,Q9H361,ESR2,PABPC3
Q92731,Q9H3S7,ESR2,PTPN23
Q92731,Q9H4A6,ESR2,GOLPH3
Q92731,Q9H4L4,ESR2,SENP3
Q92731,Q9H4L7,ESR2,SMARCAD1
Q92731,Q9H5V7,ESR2,IKZF5
Q92731,Q9H7B2,ESR2,RPF2
Q92731,Q9H944,ESR2,MED20
Q92731,Q9H9J2,ESR2,MRPL44
Q92731,Q9HBH9,ESR2,MKNK2
Q92731,Q9HCM4,ESR2,EPB41L5
Q92731,Q9HD15,ESR2,SRA1
Q92731,Q9NPD3,ESR2,EXOSC4
Q92731,Q9NPG3,ESR2,UBN1
Q92731,Q9NPJ4,ESR2,PNRC2
Q92731,Q9NPJ6,ESR2,MED4
Q92731,Q9NRL2,ESR2,BAZ1A
Q92731,Q9NVC6,ESR2,MED17
Q92731,Q9NVE4,ESR2,CCDC87
Q92731,Q9NW13,ESR2,RBM28
Q92731,Q9NX58,ESR2,LYAR
Q92731,Q9NXF1,ESR2,TEX10
Q92731,Q9NYF8,ESR2,BCLAF1
Q92731,Q9NZB2,ESR2,FAM120A
Q92731,Q9P013,ESR2,CWC15
Q92731,Q9P2E9,ESR2,RRBP1
Q92731,Q9P2F8,ESR2,SIPA1L2
Q92731,Q9P2J5,ESR2,LARS1
Q92731,Q9P2M7,ESR2,CGN
Q92731,Q9P2R3,ESR2,ANKFY1
Q92731,Q9P2W1,ESR2,PSMC3IP
Q92731,Q9UBC2,ESR2,EPS15L1
Q92731,Q9UBD9,ESR2,CLCF1
Q92731,Q9UBF2,ESR2,COPG2
Q92731,Q9UBG0,ESR2,MRC2
Q92731,Q9UBK2,ESR2,PPARGC1A
Q92731,Q9UBP4,ESR2,DKK3
Q92731,Q9UF83,ESR2,#N/A
Q92731,Q9UHB6,ESR2,LIMA1
Q92731,Q9UHR4,ESR2,BAIAP2L1
Q92731,Q9UHV7,ESR2,MED13
Q92731,Q9UI38,ESR2,PRSS50
Q92731,Q9UJV9,ESR2,DDX41
Q92731,Q9UJX4,ESR2,ANAPC5
Q92731,Q9UKM9,ESR2,RALY
Q92731,Q9UKN8,ESR2,GTF3C4
Q92731,Q9UKQ9,ESR2,KLK9
Q92731,Q9UKX3,ESR2,MYH13
Q92731,Q9ULK4,ESR2,MED23
Q92731,Q9UNM6,ESR2,PSMD13
Q92731,Q9UQ26,ESR2,RIMS2
Q92731,Q9UQ35,ESR2,SRRM2
Q92731,Q9Y230,ESR2,RUVBL2
Q92731,Q9Y2H0,ESR2,DLGAP4
Q92731,Q9Y2S7,ESR2,POLDIP2
Q92731,Q9Y2V7,ESR2,COG6
Q92731,Q9Y2X0,ESR2,MED16
Q92731,Q9Y399,ESR2,MRPS2
Q92731,Q9Y3I0,ESR2,RTCB
Q92731,Q9Y3U8,ESR2,RPL36
Q92731,Q9Y446,ESR2,PKP3
Q92731,Q9Y4F4,ESR2,TOGARAM1
Q92731,Q9Y4L1,ESR2,HYOU1
Q92731,Q9Y4W2,ESR2,LAS1L
Q92731,Q9Y520,ESR2,PRRC2C
Q92731,Q9Y5Q8,ESR2,GTF3C5
Q92731,Q9Y5Q9,ESR2,GTF3C3
Q92731,Q9Y5Z7,ESR2,HCFC2
Q92731,Q9Y618,ESR2,NCOR2
Q92731,Q9Y623,ESR2,MYH4
Q92731,Q9Y6N5,ESR2,SQOR
Q92731,Q9Y6Q9,ESR2,NCOA3
Q92731,Q9Y6X2,ESR2,PIAS3
Q92731,Q9Y6X6,ESR2,MYO16
Q92731,A0AV96,ESR2,RBM47
Q92731,A6NHQ2,ESR2,FBLL1
Q92731,A7E2Y1,ESR2,MYH7B
Q92731,A8CG34,ESR2,POM121C
Q92731,O00148,ESR2,DDX39A
Q92731,O00159,ESR2,MYO1C
Q92731,O00231,ESR2,PSMD11
Q92731,O00232,ESR2,PSMD12
Q92731,O00501,ESR2,CLDN5
Q92731,O00515,ESR2,LAD1
Q92731,O00541,ESR2,PES1
Q92731,O00567,ESR2,NOP56
Q92731,O00571,ESR2,DDX3X
Q92731,O00743,ESR2,PPP6C
Q92731,O14744,ESR2,PRMT5
Q92731,O15020,ESR2,SPTBN2
Q92731,O15027,ESR2,SEC16A
Q92731,O15144,ESR2,ARPC2
Q92731,O15162,ESR2,PLSCR1
Q92731,O15164,ESR2,TRIM24
Q92731,O15226,ESR2,NKRF
Q92731,O15234,ESR2,CASC3
Q92731,O43251,ESR2,RBFOX2
Q92731,O43379,ESR2,WDR62
Q92731,O43513,ESR2,MED7
Q92731,O43593,ESR2,HR
Q92731,O43707,ESR2,ACTN4
Q92731,O43719,ESR2,HTATSF1
Q92731,O43790,ESR2,KRT86
Q92731,O43823,ESR2,AKAP8
Q92731,O60244,ESR2,MED14
Q92731,O60264,ESR2,SMARCA5
Q92731,O60299,ESR2,LZTS3
Q92731,O60662,ESR2,KLHL41
Q92731,O60812,ESR2,HNRNPCL1
Q92731,O75122,ESR2,CLASP2
Q92731,O75369,ESR2,FLNB
Q92731,O75376,ESR2,NCOR1
Q92731,O75396,ESR2,SEC22B
Q92731,O75420,ESR2,GIGYF1
Q92731,O75445,ESR2,USH2A
Q92731,O75448,ESR2,MED24
Q92731,O75526,ESR2,RBMXL2
Q92731,O75569,ESR2,PRKRA
Q92731,O75586,ESR2,MED6
Q92731,O75683,ESR2,SURF6
Q92731,O75925,ESR2,PIAS1
Q92731,O75928,ESR2,PIAS2
Q92731,O75934,ESR2,BCAS2
Q92731,O76011,ESR2,KRT34
Q92731,O76013,ESR2,KRT36
Q92731,O76014,ESR2,KRT37
Q92731,O76041,ESR2,NEBL
Q92731,O94776,ESR2,MTA2
Q92731,O94832,ESR2,MYO1D
Q92731,O95678,ESR2,KRT75
Q92731,O95782,ESR2,AP2A1
Q92731,O95793,ESR2,STAU1
Q92731,P01100,ESR2,FOS
Q92731,P01178,ESR2,OXT
Q92731,P03372,ESR2,ESR1
Q92731,P04155,ESR2,TFF1
Q92731,P04350,ESR2,TUBB4A
Q92731,P05141,ESR2,SLC25A5
Q92731,P05388,ESR2,RPLP0
Q92731,P06239,ESR2,LCK
Q92731,P06396,ESR2,GSN
Q92731,P07237,ESR2,P4HB
Q92731,P07814,ESR2,EPRS1
Q92731,P07900,ESR2,HSP90AA1
Q92731,P07942,ESR2,LAMB1
Q92731,P08047,ESR2,SP1
Q92731,P08107,ESR2,HSPA1A
Q92731,P08670,ESR2,VIM
Q92731,P08708,ESR2,RPS17
Q92731,P09543,ESR2,CNP
Q92731,P09622,ESR2,DLD
Q92731,P0CG48,ESR2,UBC
Q92731,P10275,ESR2,AR
Q92731,P10515,ESR2,DLAT
Q92731,P10826,ESR2,RARB
Q92731,P11142,ESR2,HSPA8
Q92731,P12004,ESR2,PCNA
Q92731,P12036,ESR2,NEFH
Q92731,P12273,ESR2,PIP
Q92731,P12814,ESR2,ACTN1
Q92731,P12883,ESR2,MYH7
Q92731,P12931,ESR2,SRC
Q92731,P14136,ESR2,GFAP
Q92731,P14314,ESR2,PRKCSH
Q92731,P15170,ESR2,GSPT1
Q92731,P15172,ESR2,MYOD1
Q92731,P15924,ESR2,DSP
Q92731,P16403,ESR2,H1-2
Q92731,P16520,ESR2,GNB3
Q92731,P17066,ESR2,HSPA6
Q92731,P17844,ESR2,DDX5
Q92731,P17987,ESR2,TCP1
Q92731,P18124,ESR2,RPL7
Q92731,P18621,ESR2,RPL17
Q92731,P19012,ESR2,KRT15
Q92731,P19013,ESR2,KRT4
Q92731,P19793,ESR2,RXRA
Q92731,P20930,ESR2,FLG
Q92731,P21333,ESR2,FLNA
