UniProt1,UniProt2,symbol1,symbol2
P10275,Q8WXF1,AR,PSPC1
P10275,Q92466,AR,DDB2
P10275,Q92529,AR,SHC3
P10275,Q92569,AR,PIK3R3
P10275,Q92624,AR,APPBP2
P10275,Q92731,AR,ESR2
P10275,Q92766,AR,RREB1
P10275,Q92769,AR,HDAC2
P10275,Q92793,AR,CREBBP
P10275,Q92831,AR,KAT2B
P10275,Q92845,AR,KIFAP3
P10275,Q92922,AR,SMARCC1
P10275,Q92993,AR,KAT5
P10275,Q969G3,AR,SMARCE1
P10275,Q969W9,AR,PMEPA1
P10275,Q96EB6,AR,SIRT1
P10275,Q96GM5,AR,SMARCD1
P10275,Q96JN0,AR,LCOR
P10275,Q96JZ2,AR,HSH2D
P10275,Q96L73,AR,NSD1
P10275,Q96PM5,AR,RCHY1
P10275,Q96S59,AR,RANBP9
P10275,Q96ST3,AR,SIN3A
P10275,Q99496,AR,RNF2
P10275,Q99497,AR,PARK7
P10275,Q99615,AR,DNAJC7
P10275,Q99638,AR,RAD9A
P10275,Q99743,AR,NPAS2
P10275,Q99816,AR,TSG101
P10275,Q99873,AR,PRMT1
P10275,Q99933,AR,BAG1
P10275,Q9BQA1,AR,WDR77
P10275,Q9BQG0,AR,MYBBP1A
P10275,Q9BXU7,AR,USP26
P10275,Q9BZK7,AR,TBL1XR1
P10275,Q9H3R0,AR,KDM4C
P10275,Q9H422,AR,HIPK3
P10275,Q9HBE1,AR,PATZ1
P10275,Q9HBL0,AR,TNS1
P10275,Q9HCK8,AR,CHD8
P10275,Q9NP31,AR,SH2D2A
P10275,Q9NPJ4,AR,PNRC2
P10275,Q9NQU5,AR,PAK6
P10275,Q9NRM7,AR,LATS2
P10275,Q9NSA3,AR,CTNNBIP1
P10275,Q9NU22,AR,MDN1
P10275,Q9NXR1,AR,NDE1
P10275,Q9NY61,AR,AATF
P10275,Q9NYJ8,AR,TAB2
P10275,Q9NYW8,AR,RBAK
P10275,Q9P2W1,AR,PSMC3IP
P10275,Q9UBK9,AR,UXT
P10275,Q9UBL3,AR,ASH2L
P10275,Q9UBS8,AR,RNF14
P10275,Q9UER7,AR,DAXX
P10275,Q9UGL1,AR,KDM5B
P10275,Q9UGU0,AR,TCF20
P10275,Q9UHC1,AR,MLH3
P10275,Q9UKG1,AR,APPL1
P10275,Q9UKW4,AR,VAV3
P10275,Q9ULJ6,AR,ZMIZ1
P10275,Q9ULZ2,AR,STAP1
P10275,Q9UNE7,AR,STUB1
P10275,Q9UQ80,AR,PA2G4
P10275,Q9Y252,AR,RNF6
P10275,Q9Y265,AR,RUVBL1
P10275,Q9Y2I1,AR,NISCH
P10275,Q9Y2K1,AR,ZBTB1
P10275,Q9Y2Y4,AR,ZBTB32
P10275,Q9Y3R0,AR,GRIP1
P10275,Q9Y4B4,AR,RAD54L2
P10275,Q9Y4C1,AR,KDM3A
P10275,Q9Y4E5,AR,ZNF451
P10275,Q9Y618,AR,NCOR2
P10275,Q9Y6Q9,AR,NCOA3
P10275,Q9Y6X2,AR,PIAS3
