UniProt1,UniProt2,symbol1,symbol2
P03372,Q9P225,ESR1,DNAH2
P03372,Q9P2J5,ESR1,LARS1
P03372,Q9P2W1,ESR1,PSMC3IP
P03372,Q9UBB5,ESR1,MBD2
P03372,Q9UBF2,ESR1,COPG2
P03372,Q9UBK2,ESR1,PPARGC1A
P03372,Q9UBL3,ESR1,ASH2L
P03372,Q9UBS4,ESR1,DNAJB11
P03372,Q9UBS8,ESR1,RNF14
P03372,Q9UGU0,ESR1,TCF20
P03372,Q9UHV7,ESR1,MED13
P03372,Q9UIG0,ESR1,BAZ1B
P03372,Q9UIM3,ESR1,FKBPL
P03372,Q9UJ41,ESR1,RABGEF1
P03372,Q9UJU2,ESR1,LEF1
P03372,Q9UK53,ESR1,ING1
P03372,Q9UKQ9,ESR1,KLK9
P03372,Q9UKV0,ESR1,HDAC9
P03372,Q9UKW4,ESR1,VAV3
P03372,Q9ULK4,ESR1,MED23
P03372,Q9UM54,ESR1,MYO6
P03372,Q9UN36,ESR1,NDRG2
P03372,Q9UN86,ESR1,G3BP2
P03372,Q9UNE7,ESR1,STUB1
P03372,Q9UPN7,ESR1,PPP6R1
P03372,Q9UQ13,ESR1,SHOC2
P03372,Q9UQ35,ESR1,SRRM2
P03372,Q9UQL6,ESR1,HDAC5
P03372,Q9Y230,ESR1,RUVBL2
P03372,Q9Y265,ESR1,RUVBL1
P03372,Q9Y294,ESR1,ASF1A
P03372,Q9Y2R5,ESR1,MRPS17
P03372,Q9Y2W1,ESR1,THRAP3
P03372,Q9Y2X0,ESR1,MED16
P03372,Q9Y2X3,ESR1,NOP58
P03372,Q9Y337,ESR1,KLK5
P03372,Q9Y399,ESR1,MRPS2
P03372,Q9Y3R0,ESR1,GRIP1
P03372,Q9Y3U8,ESR1,RPL36
P03372,Q9Y4A5,ESR1,TRRAP
P03372,Q9Y4H2,ESR1,IRS2
P03372,Q9Y4K3,ESR1,TRAF6
P03372,Q9Y4L1,ESR1,HYOU1
P03372,Q9Y4P3,ESR1,TBL2
P03372,Q9Y5A9,ESR1,YTHDF2
P03372,Q9Y5B9,ESR1,SUPT16H
P03372,Q9Y618,ESR1,NCOR2
P03372,Q9Y6C7,ESR1,LINC00312
P03372,Q9Y6C9,ESR1,MTCH2
P03372,Q9Y6Q9,ESR1,NCOA3
P03372,Q9Y6X2,ESR1,PIAS3
